------------------------------------------
>>> Logging system turn on.
>> mark 
10/19 12:42:29 - VertexShader HW Accel Enabled
10/19 12:42:29 - Error in Init Render Target Texture
10/19 12:42:31 - mesh\\ahs009.msa , mesh\ahs009. 
10/19 12:42:31 - mesh\\kwal13.msa , mesh\kwal13. 
10/19 12:42:31 - mesh\\etc067.msa , mesh\etc067. 
10/19 12:42:31 - mesh\\etc049.msa , mesh\etc049. 
10/19 12:42:31 - mesh\\etc069.msa , mesh\etc069. 
10/19 12:42:31 - mesh\\etc071.msa , mesh\etc071. 
10/19 12:42:31 - mesh\\etc053.msa , mesh\etc053. 
10/19 12:42:31 - mesh\\etc058.msa , mesh\etc058. 
10/19 12:42:31 - mesh\\kwal21.msa , mesh\kwal21. 
10/19 12:42:31 - mesh\\hs0114.msa , mesh\hs0114. 
10/19 12:42:31 - mesh\\ahs008.msa , mesh\ahs008. 
10/19 12:42:31 - mesh\\etc061.msa , mesh\etc061. 
10/19 12:42:31 - mesh\\ahs006.msa , mesh\ahs006. 
10/19 12:42:31 - mesh\\ds0024.msa , mesh\ds0024. 
10/19 12:42:31 - mesh\\etc045.msa , mesh\etc045. 
10/19 12:42:31 - mesh\\etc044.msa , mesh\etc044. 
10/19 12:42:31 - mesh\\etc043.msa , mesh\etc043. 
10/19 12:42:31 - mesh\\ahs002.msa , mesh\ahs002. 
10/19 12:42:31 - mesh\\ahs007.msa , mesh\ahs007. 
10/19 12:42:31 - mesh\\etc003.msa , mesh\etc003. 
10/19 12:42:31 - mesh\\hs0007.msa , mesh\hs0007. 
